ID,Nome do Curso,Quantidade de Vendas,Preço Unitário,Data
1,Introdução à Programação em Python,50,39.90,2023-01-01
2,Desenvolvimento Web com HTML e CSS,30,59.90,2023-01-02
3,JavaScript Avançado: Frameworks e Bibliotecas,20,79.90,2023-01-03
4,Introdução ao Machine Learning,15,99.90,2023-01-04
5,Desenvolvimento Mobile com React Native,25,69.90,2023-01-05
6,Arquitetura de Microserviços,12,89.90,2023-01-06
7,Banco de Dados SQL e NoSQL,18,79.90,2023-01-07
8,Segurança da Informação: Fundamentos,10,109.90,2023-01-08
9,Cloud Computing com AWS,22,99.90,2023-01-09
10,DevOps: Integração e Entrega Contínua,8,119.90,2023-01-10
11,Desenvolvimento Web com HTML e CSS,20,59.90,2023-01-11
12,JavaScript Avançado: Frameworks e Bibliotecas,15,79.90,2023-01-12
13,Introdução ao Machine Learning,10,99.90,2023-01-13
14,Desenvolvimento Mobile com React Native,18,69.90,2023-01-14
15,Arquitetura de Microserviços,8,89.90,2023-01-15
16,Banco de Dados SQL e NoSQL,12,79.90,2023-01-16
17,Segurança da Informação: Fundamentos,5,109.90,2023-01-17
18,Cloud Computing com AWS,15,99.90,2023-01-18
19,DevOps: Integração e Entrega Contínua,6,119.90,2023-01-19
20,Introdução à Programação em Python,45,39.90,2023-01-20
21,Desenvolvimento Web com HTML e CSS,25,59.90,2023-01-21
22,JavaScript Avançado: Frameworks e Bibliotecas,18,79.90,2023-01-22
23,Introdução ao Machine Learning,12,99.90,2023-01-23
24,Desenvolvimento Mobile com React Native,20,69.90,2023-01-24
25,Arquitetura de Microserviços,10,89.90,2023-01-25
